--- Execution profile ---
Total samples       : 3619

          ns  percent  samples  top
     2000000    0.06%        2  net.minecraft.world.entity.LivingEntity.aiStep
     2000000    0.06%        2  net.minecraft.world.entity.LivingEntity.baseTick
     2000000    0.06%        2  net.minecraft.world.level.pathfinder.PathfindingContext.getPathTypeFromState
     2000000    0.06%        2  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathTypeStatic
     2000000    0.06%        2  PhaseCFG::schedule_early
     2000000    0.06%        2  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.ChunkEntitySlices.removeEntity
     2000000    0.06%        2  DIR_Chunk* GrowableArrayWithAllocator<DIR_Chunk*, GrowableArray<DIR_Chunk*>>::insert_sorted<&DIR_Chunk::compare(DIR_Chunk* const&, DIR_Chunk* const&)>
     2000000    0.06%        2  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathTypeWithinMobBB
     2000000    0.06%        2  java.util.HashMap$HashIterator.nextNode
     2000000    0.06%        2  ca.spottedleaf.moonrise.patches.chunk_system.player.RegionizedPlayerChunkLoader$PlayerChunkLoaderData.getClientViewDistance
     2000000    0.06%        2  net.minecraft.world.phys.AABB.ofSize
     2000000    0.06%        2  java.util.EnumMap.unmaskNull
     2000000    0.06%        2  net.minecraft.world.phys.Vec3.length
     2000000    0.06%        2  net.minecraft.world.entity.ai.goal.WrappedGoal.isInterruptable
     2000000    0.06%        2  net.minecraft.world.phys.shapes.CollisionContext.of
     2000000    0.06%        2  java.util.Arrays.copyOf
     2000000    0.06%        2  net.minecraft.world.ticks.LevelTicks.drainContainers
     2000000    0.06%        2  java.util.ArrayList.iterator
     2000000    0.06%        2  java.util.ArrayList.<init>
     2000000    0.06%        2  ConnectionGraph::find_non_escaped_objects
     2000000    0.06%        2  java.util.ArrayList$Itr.next
     2000000    0.06%        2  ca.spottedleaf.moonrise.patches.collisions.CollisionUtil.performAABBCollisionsX
